time,clock,sleep,execute,overrun,type
1520599537456506,1000,887,112,0,3
1520599537456506,1000,887,112,0,4
1520599537457409,1000,887,112,0,0
1520599537457495,1000,887,112,0,1
1520599537457506,1000,887,112,0,2
1520599537457520,1000,887,112,0,3
1520599537457521,1000,887,112,0,4
1520599537458425,1000,887,112,0,0
1520599537458511,1000,887,112,0,1
1520599537458522,1000,887,112,0,2
1520599537458536,1000,887,112,0,3
1520599537458537,1000,887,112,0,4
1520599537459441,1000,887,112,0,0
1520599537459526,1000,887,112,0,1
1520599537459536,1000,887,112,0,2
1520599537459550,1000,887,112,0,3
1520599537459551,1000,887,112,0,4
1520599537460457,1000,889,110,0,0
1520599537460542,1000,889,110,0,1
1520599537460553,1000,889,110,0,2
1520599537460568,1000,889,110,0,3
1520599537460568,1000,889,110,0,4
1520599537461472,1000,888,111,0,0
1520599537461558,1000,888,111,0,1
1520599537461568,1000,888,111,0,2
1520599537461583,1000,888,111,0,3
1520599537461583,1000,888,111,0,4
1520599537462487,1000,887,112,0,0
1520599537462573,1000,887,112,0,1
1520599537462584,1000,887,112,0,2
1520599537462599,1000,887,112,0,3
1520599537462599,1000,887,112,0,4
1520599537463503,1000,887,112,0,0
1520599537463589,1000,887,112,0,1
1520599537463599,1000,887,112,0,2
1520599537463613,1000,887,112,0,3
1520599537463614,1000,887,112,0,4
1520599537464519,1000,888,111,0,0
1520599537464605,1000,888,111,0,1
1520599537464616,1000,888,111,0,2
1520599537464631,1000,888,111,0,3
1520599537464631,1000,888,111,0,4
1520599537465534,1000,887,112,0,0
1520599537465621,1000,887,112,0,1
1520599537465630,1000,887,112,0,2
1520599537465645,1000,887,112,0,3
1520599537465646,1000,887,112,0,4
1520599537466550,1000,888,111,0,0
1520599537466636,1000,888,111,0,1
1520599537466646,1000,888,111,0,2
1520599537466661,1000,888,111,0,3
1520599537466662,1000,888,111,0,4
1520599537467566,1000,888,111,0,0
1520599537467652,1000,888,111,0,1
1520599537467663,1000,888,111,0,2
1520599537467677,1000,888,111,0,3
